M-YY,Non-mortgage loans,Chartered banks,Personal loans,Of which: Auto loans,Credit cards,Lines of credit,"Lines of credit, of which: excluding home equity lines of credit",Other personal loans,Unincorporated business,Non-banks,Government,Non-bank financial corporations,Credit unions and caisse populaires,Trust companies and mortgage loan companies,Financial vehicle corporations engaged in securitization,Other financial corporations n.e.i.,Other lenders n.e.i.,Mortgage loans,Residential mortgages,Chartered banks,Non-banks,Government,Non-bank financial corporations,Credit unions and caisse populaires,Trust companies and mortgage loan companies,Financial vehicle corporations engaged in securitization,Of which: off balance-sheet NHA-MBS,Other financial corporations n.e.i.,Other lenders n.e.i.,Non-residential mortgages,Chartered banks,Non-banks,Government,Non-bank financial corporations,Credit unions and caisse populaires,Trust companies and mortgage loan companies,Financial vehicle corporations engaged in securitization,Other financial corporations n.e.i.,Other lenders n.e.i.,Total credit liabilities of households,Of which: real estate secured lending,Residential mortgages,Chartered banks,Non-banks,Non-residential mortgages,Chartered banks,Non-banks,Home equity lines of credit,Chartered banks,Non-banks
03-Aug,"298,883","175,778","39,260",0,"31,977","68,166","16,658","19,920","16,455","123,105","5,692","114,891","35,604",327,"39,021","39,939","2,522","504,450","499,637","313,263","186,374",246,"180,496","67,026","6,072","63,415","49,646","43,983","5,632","4,813",965,"3,848",123,"3,189",637,4,474,"2,074",536,"803,333","556,944","499,637","313,263","186,374","4,813",965,"3,848","52,494","51,508",986
03-Sep,"302,068","177,667","39,325",0,"32,699","69,572","16,925","19,686","16,385","124,401","5,892","115,983","35,999",343,"39,449","40,192","2,526","508,924","504,068","313,527","190,541",250,"184,589","67,752","5,944","66,653","52,867","44,240","5,702","4,856",974,"3,882",125,"3,222",638,4,493,"2,087",535,"810,992","562,577","504,068","313,527","190,541","4,856",974,"3,882","53,653","52,647","1,006"
03-Oct,"303,185","178,003","39,264",0,"31,745","71,102","17,289","19,632","16,260","125,182","6,139","116,513","35,996",294,"39,479","40,744","2,530","512,787","507,875","313,928","193,947",254,"188,102","68,425","5,929","69,574","55,496","44,174","5,591","4,912","1,003","3,909",127,"3,254",638,4,509,"2,103",528,"815,972","567,616","507,875","313,928","193,947","4,912","1,003","3,909","54,829","53,813","1,016"
03-Nov,"305,536","179,482","39,141",0,"32,143","72,738","17,680","19,223","16,237","126,054","6,377","117,143","36,077",275,"39,512","41,279","2,534","517,605","512,637","318,627","194,010",257,"188,270","68,989","5,999","69,171","55,374","44,111","5,483","4,968","1,029","3,939",129,"3,290",641,4,526,"2,119",520,"823,141","573,696","512,637","318,627","194,010","4,968","1,029","3,939","56,091","55,058","1,033"
03-Dec,"309,502","182,706","38,975",0,"34,249","74,007","17,980","19,107","16,368","126,796","6,624","117,634","36,020",243,"39,540","41,831","2,538","519,668","514,646","318,374","196,272",261,"190,639","69,454","6,060","71,080","57,191","44,045","5,372","5,022","1,051","3,971",131,"3,327",646,4,542,"2,135",513,"829,170","576,723","514,646","318,374","196,272","5,022","1,051","3,971","57,055","56,027","1,028"
04-Jan,"309,731","182,370","38,618",0,"33,916","74,857","17,957","18,836","16,143","127,361","6,658","118,159","35,950",234,"40,210","41,765","2,544","523,065","518,009","318,599","199,410",265,"193,820","69,588","6,142","73,579","59,620","44,511","5,325","5,056","1,063","3,993",134,"3,345",649,4,545,"2,147",514,"832,796","580,959","518,009","318,599","199,410","5,056","1,063","3,993","57,894","56,900",994
04-Feb,"310,544","182,030","38,541",0,"32,808","76,273","18,062","18,491","15,917","128,514","6,690","119,275","36,501",231,"40,839","41,704","2,549","525,360","520,304","319,977","200,327",268,"194,778","69,936","6,203","73,692","60,046","44,947","5,281","5,056","1,052","4,004",135,"3,353",644,4,548,"2,157",516,"835,904","584,565","520,304","319,977","200,327","5,056","1,052","4,004","59,205","58,211",994
04-Mar,"314,211","184,737","38,958",0,"32,395","78,888","18,436","18,545","15,951","129,474","6,724","120,195","36,819",228,"41,510","41,638","2,555","527,499","522,435","319,128","203,307",272,"197,801","70,429","6,260","75,699","62,093","45,413","5,234","5,064","1,044","4,020",137,"3,366",642,4,551,"2,169",517,"841,710","589,017","522,435","319,128","203,307","5,064","1,044","4,020","61,518","60,452","1,066"
04-Apr,"317,566","187,394","39,396",0,"33,100","80,402","18,933","18,569","15,927","130,172","6,974","120,625","36,753",228,"41,589","42,055","2,573","532,890","527,802","321,453","206,349",289,"200,781","70,981","6,324","77,946","63,990","45,530","5,279","5,088","1,039","4,049",145,"3,383",645,4,560,"2,174",521,"850,456","595,416","527,802","321,453","206,349","5,088","1,039","4,049","62,526","61,469","1,057"
04-May,"321,873","190,538","39,595",0,"33,685","82,522","19,578","18,800","15,936","131,335","7,231","121,511","37,108",246,"41,670","42,487","2,593","538,838","533,707","326,064","207,643",307,"202,011","71,888","6,404","78,068","64,065","45,651","5,325","5,131","1,052","4,079",154,"3,399",645,4,570,"2,180",526,"860,711","602,865","533,707","326,064","207,643","5,131","1,052","4,079","64,027","62,944","1,083"
04-Jun,"326,634","194,415","40,377",0,"34,732","84,603","20,222","18,705","15,998","132,219","7,481","122,127","37,230",244,"41,749","42,904","2,611","545,580","540,404","328,841","211,563",325,"205,868","73,049","6,450","80,601","66,197","45,768","5,370","5,176","1,063","4,113",163,"3,420",652,4,579,"2,185",530,"872,214","611,068","540,404","328,841","211,563","5,176","1,063","4,113","65,488","64,381","1,107"
04-Jul,"329,314","196,863","40,466",0,"35,276","86,620","20,675","18,537","15,964","132,451","7,669","122,155","37,439",252,"41,394","43,070","2,627","552,094","546,862","331,532","215,330",326,"209,647","73,635","6,622","83,273","68,539","46,117","5,357","5,232","1,090","4,142",164,"3,446",661,4,583,"2,198",532,"881,408","619,156","546,862","331,532","215,330","5,232","1,090","4,142","67,062","65,945","1,117"
04-Aug,"332,423","199,471","40,699",0,"35,814","88,613","21,122","18,408","15,937","132,952","7,856","122,454","37,923",254,"41,040","43,237","2,642","557,422","552,143","335,540","216,603",327,"210,932","74,257","6,701","83,508","68,799","46,466","5,344","5,279","1,111","4,168",164,"3,469",665,5,588,"2,211",535,"889,845","626,038","552,143","335,540","216,603","5,279","1,111","4,168","68,616","67,491","1,125"
04-Sep,"335,178","201,872","40,487",0,"36,529","90,794","21,612","18,176","15,886","133,306","8,038","122,611","38,256",261,"40,696","43,398","2,657","561,287","555,991","336,241","219,750",328,"214,091","74,905","6,698","85,684","70,729","46,804","5,331","5,296","1,101","4,195",165,"3,493",672,5,592,"2,224",537,"896,465","631,614","555,991","336,241","219,750","5,296","1,101","4,195","70,327","69,182","1,145"
04-Oct,"337,442","203,501","40,754",0,"36,107","92,721","22,085","18,111","15,808","133,941","8,252","123,016","38,374",269,"41,286","43,087","2,673","566,496","561,183","338,091","223,092",330,"217,418","75,630","6,785","87,960","72,627","47,043","5,344","5,313","1,101","4,212",166,"3,506",678,5,595,"2,228",540,"903,938","638,301","561,183","338,091","223,092","5,313","1,101","4,212","71,805","70,636","1,169"
