AGE,KIDS,NET WORTH,INCOME,MARRIAGE,TRUE RISK TOLERANCE,RISK TOLERANCE SCORE
57,0,174291.08426,238554.69239,1,15.19351224741376,Low Risk
60,0,575067.37427,106497.63053,1,4.168058232806787,Very Low Risk
60,0,614420.08491,105432.65422,1,4.150897196359181,Very Low Risk
49,4,22809038.21,2481394.7913,1,5.6344592948303305,Very Low Risk
39,1,299080.60091,94782.891171,1,21.026880761365,Moderate Risk
39,1,281475.44089,93717.914866,1,20.915480846150373,Moderate Risk
39,1,266666.39451,93717.914866,1,20.915480846150373,Moderate Risk
39,1,271015.90464,93717.914866,1,20.915480846150373,Moderate Risk
39,1,266355.71522,93717.914866,1,20.915480846150373,Moderate Risk
52,0,1605176.3553,195955.64017,1,5.872522723880553,Very Low Risk
52,0,2133952.5147,199150.56909,1,5.56129831756272,Very Low Risk
52,0,1969085.369,233229.81086,1,6.257034053595305,Very Low Risk
52,0,1520536.9595,194890.66387,1,5.895075119545993,Very Low Risk
52,0,1393293.0764,201280.5217,1,5.729978125188805,Very Low Risk
62,0,801035.81679,37274.170685,2,0.8608769969150825,Very Low Risk
65,2,713526.77988,97977.820087,2,1.894331847549149,Very Low Risk
65,2,733203.13521,97977.820087,2,1.8978373510673043,Very Low Risk
65,2,697992.81515,97977.820087,2,1.9134425792837493,Very Low Risk
65,2,708348.79164,97977.820087,2,1.9012209186494644,Very Low Risk
65,2,702135.20575,97977.820087,2,1.8695898175023429,Very Low Risk
64,0,7468730.2417,519708.43698,1,0.8953489771628098,Very Low Risk
64,0,7368277.2698,518643.46068,1,0.8944300834777426,Very Low Risk
64,0,7444911.4958,518643.46068,1,0.8945933390498366,Very Low Risk
64,0,7600251.143,519708.43698,1,0.8952931318967828,Very Low Risk
64,0,7279215.872,519708.43698,1,0.8947428669080153,Very Low Risk
49,3,1898043.3703,250269.43174,1,5.853993405770577,Very Low Risk
49,3,1760308.8831,250269.43174,1,6.538304745518651,Very Low Risk
49,3,1758134.128,250269.43174,1,5.387089131735651,Very Low Risk
39,2,115158.45852,127797.15664,1,35.492173595809646,Moderate Risk
39,2,125410.87524,127797.15664,1,34.86785349624612,Moderate Risk
39,2,142912.47551,127797.15664,1,36.44726400995819,High Risk
39,2,163106.62965,127797.15664,1,36.002810973835935,High Risk
39,2,169941.57413,127797.15664,1,36.53993565774645,High Risk
68,1,18361.14631,43664.028517,1,1.000362212764755,Very Low Risk
68,1,22917.775963,44729.004822,1,1.0143584151661376,Very Low Risk
68,1,18361.14631,39404.123296,1,0.9774327049835996,Very Low Risk
68,1,18257.586545,41534.075906,1,0.9922947139665488,Very Low Risk
68,1,18361.14631,39404.123296,1,0.9709130493717184,Very Low Risk
32,0,40181.188766,66028.530928,1,46.99647638533935,High Risk
32,0,40181.188766,66028.530928,1,46.99647638533935,High Risk
32,0,40284.74853,66028.530928,1,46.99647638533935,High Risk
32,0,40284.74853,66028.530928,1,46.99647638533935,High Risk
32,0,40284.74853,66028.530928,1,46.99647638533935,High Risk
62,0,798031.54801,91587.962255,2,2.79529017393817,Very Low Risk
62,0,784568.77858,91587.962255,2,2.806572676427635,Very Low Risk
62,0,792853.55976,91587.962255,2,2.79529017393817,Very Low Risk
62,0,823921.48922,91587.962255,2,2.7980812508604838,Very Low Risk
62,0,767999.2162,91587.962255,2,2.809443208717314,Very Low Risk
61,1,1694548.4324,121407.2988,1,1.4425936627096942,Very Low Risk
61,1,1669590.5291,120342.3225,1,1.4389196510735704,Very Low Risk
61,1,1664516.1006,121407.2988,1,1.4428645134606708,Very Low Risk
61,1,1664412.5408,120342.3225,1,1.4389196510735704,Very Low Risk
61,1,1661305.7479,120342.3225,1,1.4423140926346605,Very Low Risk
66,1,56752822.338,3727417.0685,1,0.7091459844839476,Very Low Risk
